ID,Categoria,Objetivo,Autorrelato,Score estimado,Score real,Sentimento Estimado,Sentimento Real,Palavras-chave,Passou?,Análise
1,Baixo ,Verificar a ausência de estresse em relatos predominantemente positivos.," ""Hoje foi um dia maravilhoso. Consegui descansar bastante e estou muito feliz.""",<0.20,0.0,Positivo,Positivo,"""feliz"",
        ""maravilhoso"",
        ""descansar""",Sim,"O relato apresenta apenas elementos positivos, como descanso, felicidade e bem-estar, sem indícios de sobrecarga ou preocupação. O stress_score igual a 0,0 foi considerado coerente."
2,Baixo ,Verificar a ausência de estresse em relatos predominantemente positivos.,"""Trabalhei normalmente, terminei minhas tarefas e passei a noite assistindo um filme. Estou tranquila.""",<0.20,0.0,Positivo,Positivo,"        ""tranquila"",
        ""normal"",
        ""filme""",Sim,"O autorrelato descreve uma rotina comum, concluída com tranquilidade e sem sinais de estresse. O modelo identificou corretamente a ausência de fatores estressores."
3,Baixo ,Verificar a ausência de estresse em relatos predominantemente positivos.,"""Hoje consegui caminhar no parque, ouvir música e passar um tempo com minha família. Foi um dia muito leve e relaxante.""",<0.20,0.0,Positivo,Positivo,"        ""relaxante"",
        ""leve"",
        ""feliz""",Sim,"O texto descreve atividades de lazer, convivência familiar e relaxamento. A resposta da LLM foi consistente ao atribuir ausência de estresse e sentimento positivo."
4,Baixo ,Verificar a ausência de estresse em relatos predominantemente positivos.,"""Consegui terminar todas as minhas tarefas do trabalho com calma e ainda tive tempo para ler um livro antes de dormir.""",<0.20,0.0,Positivo,Positivo,"        ""calma"",
        ""satisfação"",
        ""felicidade""",Sim,"Embora o relato mencione atividades de trabalho, elas foram realizadas com calma e sem demonstração de pressão ou ansiedade. O score retornado foi compatível com um contexto de baixo estresse."
5,Baixo ,Verificar a ausência de estresse em relatos predominantemente positivos.,"""Dormi muito bem, acordei descansada e aproveitei o dia para fazer coisas que gosto. Estou me sentindo muito bem.""",<0.20,0.0,Positivo,Positivo,"        ""bem"",
        ""descansada"",
        ""aproveitei""",Sim,"O autorrelato evidencia descanso, disposição e satisfação pessoal, sem indícios de sofrimento emocional ou sobrecarga. A classificação foi considerada adequada."
6,Moderado,"Verificar a identificação de um nível intermediário de estresse, sem classificá-lo como extremo.","""Hoje fiquei preocupada com um prazo importante no trabalho, mas consegui terminar tudo e no final do dia me senti mais tranquila.""",0.40 – 0.60,0.5,Negativo,Negativo,"        ""preocupação"",
        ""trabalho"",
        ""tranquila""",Sim,"A LLM identificou corretamente um nível moderado de estresse ao considerar a preocupação com o prazo de trabalho, mas também reconheceu o fator de recuperação presente no final do relato (""me senti mais tranquila""), evitando superestimar o score."
7,Moderado,"Verificar a identificação de um nível intermediário de estresse, sem classificá-lo como extremo.","""Dormi mal e fiquei cansada durante o dia, mas consegui cumprir todas as minhas atividades normalmente.""",0.35–0.55,0.3,Negativo,Negativo,"        ""cansada"",
        ""estafa"",
        ""dormir""",Sim,"Apesar do stress_score ter ficado ligeiramente abaixo da faixa esperada, a resposta foi considerada coerente. O relato apresenta cansaço e privação de sono, porém também informa que todas as atividades foram concluídas normalmente, indicando um impacto moderado."
8,Moderado,"Verificar a identificação de um nível intermediário de estresse, sem classificá-lo como extremo.","""Hoje foi um dia corrido. Tive muitas reuniões e terminei cansada, mas consegui resolver tudo.""",0.40 – 0.60,0.5,Negativo,Negativo,"        ""cansado"",
        ""estafado"",
        ""trabalho""",Sim,"O modelo reconheceu adequadamente um cenário de estresse moderado, caracterizado por alta demanda de trabalho e cansaço ao final do dia, sem indícios de perda de controle ou sofrimento intenso."
9,Recuperação,Verificar se a LLM considera fatores de recuperação e reduz o nível de estresse quando o relato demonstra melhora ao longo da narrativa.,"""Hoje acordei muito ansiosa por causa do trabalho, mas depois conversei com minha terapeuta e consegui me acalmar.""",0.50–0.70,0.5,Negativo,Negativo,"        ""ansiosa"",
        ""trabalho"",
        ""estresse""",Sim,"A LLM atribuiu um nível moderado de estresse ao relato, reconhecendo a ansiedade inicial, mas também considerando o fator de recuperação descrito após a conversa com a terapeuta. O resultado foi compatível com o comportamento esperado."
10,Recuperação,Verificar se a LLM considera fatores de recuperação e reduz o nível de estresse quando o relato demonstra melhora ao longo da narrativa.,"""O dia começou muito difícil, mas consegui descansar durante a tarde e agora estou me sentindo melhor.""",0.40 – 0.60,0.5,Negativo,Negativo,"        ""estresse"",
        ""melhor"",
        ""dificuldade""",Sim,"O modelo identificou corretamente um nível moderado de estresse, considerando as dificuldades relatadas no início do dia e a melhora após o período de descanso. A presença do fator de recuperação impediu a superestimação do stress_score."
11,Recuperação,Verificar se a LLM considera fatores de recuperação e reduz o nível de estresse quando o relato demonstra melhora ao longo da narrativa.,"""Chorei bastante pela manhã, porém conversar com meus amigos me ajudou e agora estou mais tranquila.""",0.45–0.65,0.5,Negativo,Negativo,"        ""tristeza"",
        ""tranquilidade"",
        ""amizade""",Sim,"Apesar da presença de tristeza e choro, a LLM considerou adequadamente a recuperação descrita após o apoio social, mantendo o stress_score em um nível intermediário e coerente com o relato."
12,Alto ,Verificar a identificação de relatos com sinais claros de estresse intenso.,"""Hoje tive uma crise de ansiedade antes de uma reunião. Meu coração acelerou, minhas mãos começaram a suar e não consegui me concentrar.""",0.80–1.00,0.8,Negativo,Negativo,"        ""ansiedade"",
        ""crise"",
        ""estresse""",Sim,"A resposta foi consistente com um quadro de alto estresse, identificando corretamente sinais físicos de ansiedade, como taquicardia, sudorese e dificuldade de concentração. O stress_score retornado foi compatível com a intensidade do relato."
13,Alto ,Verificar a identificação de relatos com sinais claros de estresse intenso.,"""Passei o dia inteiro chorando. Não consegui trabalhar e me sinto completamente sobrecarregada.""",0.90–1.00,1.0,Negativo,Negativo,"        ""estresse"",
        ""sobrecarga"",
        ""tristeza""",Sim,"O modelo reconheceu corretamente um cenário de estresse elevado, caracterizado por sobrecarga emocional, incapacidade de desempenhar atividades e sofrimento intenso. O stress_score máximo foi considerado coerente."
14,Alto ,Verificar a identificação de relatos com sinais claros de estresse intenso.,"""Estou extremamente ansiosa e sinto que não vou conseguir lidar com tanta pressão no trabalho.""
}",0.80–1.00,1.0,Negativo,Negativo,"        ""estresse"",
        ""sobrecarga"",
        ""tristeza""",Sim,"A LLM identificou corretamente um relato de alto estresse, marcado por ansiedade intensa e sensação de incapacidade para lidar com a pressão. O stress_score máximo foi compatível com a gravidade descrita."
15,Casos exploratórios,Avaliar o comportamento da LLM em situações emocionalmente negativas que não representam necessariamente um quadro de estresse.,"""Meu cachorro faleceu hoje. Estou muito triste e chorei bastante.""",0.80–1.00,1.0,Negativo,Negativo,"        ""tristeza"",
        ""perda"",
        ""luto""",Sim,"O modelo atribuiu stress_score = 1.0 ao relato de luto. Embora o sentimento negativo seja coerente, o resultado sugere que a LLM pode associar eventos de grande impacto emocional diretamente a níveis máximos de estresse. Esse comportamento deverá ser discutido como uma limitação ou característica do modelo."
